source,target
43724,138670
43724,138759
43724,138866
43724,139175
43724,139244
43724,140027
43724,140341
43724,140420
43724,140442
43724,140454
43724,140456
43724,140460
43724,140462
43724,140490
43724,140547
43724,140595
43724,140736
43724,140761
43724,140785
43724,140963
43724,141043
43724,141050
43724,141077
43724,141085
43724,141097
43724,141122
43724,141131
43724,141150
43724,141285
43724,141295
43724,142187
43724,142702
43724,142782
43724,142818
43724,142945
43724,142984
43724,143126
43724,143253
43724,143274
43724,143286
43724,144724
43724,145205
43724,145287
43724,146128
43724,146184
43724,146189
43724,146203
43724,146239
43724,146244
43724,146245
43724,146273
43724,146312
43724,146336
43724,146338
43724,146341
43724,146397
43724,146425
43724,146429
43724,146451
43724,146456
43724,146529
43724,146539
43724,146555
43724,146574
43724,146622
43724,146623
43724,146628
43724,146689
43724,146786
43724,146815
43724,146827
43724,146865
43724,146887
43724,146895
43724,146921
43724,146948
43724,147180
43724,147185
43724,147208
43724,147220
43724,147221
43724,147222
43724,147263
43724,147267
43724,147272
43724,147288
43724,147293
43724,147334
43724,147345
43724,147346
43724,147347
43724,147351
43724,147379
43724,147380
43724,147383
43724,147401
43724,147441
43724,162513
43724,162535
43724,162568
43724,162588
43724,162603
43724,162628
43724,162688
43724,162691
43724,162692
43724,162700
43724,162744
43724,162752
43724,162797
43724,162802
43724,162803
43724,162817
43724,162848
43724,162872
43724,162920
43724,162936
43724,162942
43724,162986
43724,163000
43724,163001
43724,163005
43724,163006
43724,163018
43724,163033
43724,163039
43724,163061
43724,163070
43724,163088
43724,163174
43724,163235
43724,163236
43724,163238
43724,163297
43724,163306
43724,163308
43724,163384
43724,163435
43724,163439
43724,163470
43724,163484
43724,163493
43724,163518
43724,163526
43724,163539
43724,163547
43724,163557
43724,163558
43724,163560
43724,163570
43724,163573
43724,163576
43724,163605
43724,163619
43724,163625
43724,163653
43724,163665
43724,163675
43724,163708
43724,163713
43724,163813
43724,164576
43724,164596
43724,164703
43724,164718
43724,164722
43724,164778
43724,164828
43724,164878
43724,164880
43724,164933
43724,164980
43724,165027
43724,165038
43724,165050
43724,165052
43724,165057
43724,165072
43724,165075
43724,165078
43724,165110
43724,165112
43724,165114
43724,165139
43724,165146
43724,165177
43724,165220
43724,165221
43724,165239
43724,165300
43724,165301
43724,165306
43724,165311
43724,165331
43724,165334
43724,165350
43724,165366
43724,165398
43724,165400
43724,165433
43724,165458
43724,165558
43724,165569
43724,165597
43724,165637
43724,165659
43724,165665
43724,165696
43724,165725
43724,165733
43724,165764
43724,165766
43724,165770
43724,165789
43724,165812
43724,165821
43724,165853
43724,166642
43724,166775
43724,166783
43724,166823
43724,166834
43724,166855
43724,166881
43724,166999
43724,130785
43724,129807
43724,130075
43724,127969
43724,130643
146128,54662
146128,75595
146128,236724
162513,54662
162513,75595
162513,236724
80011987,82011232
80011987,82011502
164569,54662
164569,75595
164569,236724
164570,54662
164570,75595
164570,236724
131806,54662
131806,75595
131806,236724
164576,54662
164576,75595
164576,236724
162535,54662
162535,75595
162535,236724
146152,54662
146152,50622
146152,75595
146152,236724
164583,54662
164583,50622
164583,75595
164583,236724
146158,54662
146158,50622
146158,75595
146158,236724
146159,54662
146159,50622
146159,75595
146159,236724
166642,54662
166642,75595
166642,236724
164596,54662
164596,75595
164596,236724
140027,54662
140027,75595
140027,236724
158461,294268
158461,54662
158461,50622
158461,75595
158461,236724
164605,54662
164605,75595
164605,50622
164605,236724
150271,290352
150271,54662
150271,75595
150271,50622
150271,237076
150271,236724
140033,54662
140033,75595
140033,236724
133892,54662
133892,75595
133892,236724
146184,54662
146184,50622
146184,75595
146184,236724
162568,54662
162568,75595
162568,236724
146189,54662
146189,50622
146189,75595
146189,236724
146190,54662
146190,50622
146190,75595
146190,236724
129807,54662
129807,75595
129807,236724
158483,54662
158483,75595
158483,50622
158483,236724
168730,56917
168730,58922
168730,113638
146203,54662
146203,75595
146203,236724
162588,54662
162588,75595
162588,236724
162603,54662
162603,75595
162603,236724
146239,54662
146239,75595
146239,236724
162628,54662
162628,50622
162628,75595
162628,236724
146244,54662
146244,75595
146244,236724
146245,54662
146245,75595
146245,236724
80012109,82011502
131922,54662
131922,75595
131922,48909
131922,236724
164703,54662
164703,75595
164703,236724
146273,54662
146273,75595
146273,236724
123747,54662
123747,56917
123747,236724
127845,54662
127845,75595
127845,236724
127845,237076
142187,54662
142187,75595
142187,236724
164718,54662
164718,75595
164718,236724
164722,54662
164722,75595
164722,236724
166775,54662
166775,75595
166775,236724
166783,54662
166783,75595
166783,236724
162688,54662
162688,75595
162688,236724
156545,296719
156545,54662
156545,75595
156545,50622
156545,236724
162691,54662
162691,75595
162691,236724
162692,54662
162692,75595
162692,236724
123783,54662
123783,56917
123783,236724
146312,54662
146312,75595
146312,236724
162700,54662
162700,75595
162700,236724
136079,54662
136079,75595
136079,48909
136079,236724
146320,54662
146320,50622
146320,75595
146320,236724
146323,54662
146323,50622
146323,75595
146323,236724
146336,54662
146336,75595
146336,236724
146338,54662
146338,75595
146338,236724
146341,54662
146341,50622
146341,75595
146341,236724
166823,54662
166823,75595
166823,236724
164778,54662
164778,50622
164778,75595
164778,236724
166834,54662
166834,75595
166834,236724
162744,54662
162744,50622
162744,75595
162744,236724
162747,54662
162747,75595
162747,236724
162752,54662
162752,75595
162752,236724
158658,54662
158658,50622
158658,75595
158658,236724
166855,54662
166855,75595
166855,236724
156629,54662
156629,75595
156629,50622
156629,236724
146395,54662
146395,50622
146395,75595
146395,236724
164828,54662
164828,75595
164828,236724
146397,54662
146397,75595
146397,236724
164829,54662
164829,75595
164829,236724
166881,54662
166881,75595
166881,236724
127969,54662
127969,75595
127969,236724
113638,138533
113638,130740
113638,124591
113638,126821
113638,126889
113638,124841
113638,123995
113638,123993
162791,54662
162791,75595
162791,236724
138220,296719
138220,54662
138220,75595
138220,236724
162797,54662
162797,75595
162797,236724
166894,54662
166894,75595
166894,236724
146416,54662
146416,50622
146416,75595
146416,236724
150513,54662
150513,50622
150513,75595
150513,236724
132082,294268
132082,54662
132082,75595
132082,50622
132082,236724
162802,54662
162802,75595
162802,236724
162803,54662
162803,75595
162803,236724
146425,54662
146425,50622
146425,75595
146425,236724
146429,54662
146429,75595
146429,236724
162817,54662
162817,75595
162817,236724
164878,54662
164878,75595
164878,236724
164880,54662
164880,75595
164880,236724
146451,54662
146451,75595
146451,236724
146456,54662
146456,50622
146456,75595
146456,236724
130075,54662
130075,75595
130075,236724
162848,54662
162848,75595
162848,236724
164904,54662
164904,75595
164904,236724
130094,54662
130094,75595
130094,236724
130094,237076
140335,54662
140335,75595
140335,236724
158771,54662
158771,50622
158771,75595
158771,236724
140341,54662
140341,75595
140341,236724
162872,54662
162872,75595
162872,236724
138300,54662
138300,75595
138300,236724
166972,54662
166972,75595
166972,236724
142398,296719
142398,54662
142398,50622
142398,236748
